Odległość (m),Wysokość (m),x,y
7925.0,2.8,500213,693816
7950.0,2.9,500217,693840
7975.0,3.1,500221,693865
8000.0,3.3,500226,693890
8025.0,3.5,500224,693915
8050.0,3.5,500223,693940
8075.0,3.6,500221,693964
8100.0,3.7,500220,693989
8125.0,3.7,500218,694014
8150.0,3.9,500217,694039
8175.0,3.7,500216,694064
8200.0,4.2,500214,694089
8225.0,4.3,500213,694114
8250.0,4.1,500211,694139
8275.0,4.0,500210,694164
8300.0,3.7,500208,694189
8325.0,3.7,500207,694214
8350.0,3.6,500206,694239
8375.0,3.8,500204,694264
8400.0,3.8,500203,694289
8425.0,3.7,500201,694314
8450.0,3.6,500200,694339
8475.0,3.5,500198,694364
8500.0,3.7,500197,694389
8525.0,3.7,500196,694414
8550.0,3.7,500194,694439
8575.0,3.7,500193,694464
8600.0,4.3,500191,694489
8625.0,3.9,500190,694514
8650.0,3.9,500188,694539
8675.0,3.8,500187,694564
8700.0,4.0,500186,694588
8725.0,3.7,500184,694613
8750.0,3.8,500183,694638
8775.0,3.6,500181,694663
8800.0,3.6,500180,694688
8825.0,3.6,500178,694713
8850.0,3.5,500177,694738
8875.0,3.6,500176,694763
8900.0,3.6,500174,694788
8925.0,3.6,500173,694813
8950.0,3.8,500171,694838
8975.0,3.8,500170,694863
9000.0,3.6,500169,694888
9025.0,3.5,500169,694913
9050.0,3.6,500169,694938
9075.0,3.9,500169,694963
9100.0,4.1,500169,694988
9125.0,3.8,500169,695013
9150.0,3.5,500169,695038
9175.0,2.7,500169,695063
9200.0,3.5,500169,695088
9225.0,4.2,500169,695113
9250.0,4.0,500169,695138
9275.0,3.9,500169,695163
9300.0,3.9,500169,695188
9325.0,3.7,500169,695213
9350.0,3.6,500169,695238
9375.0,3.3,500169,695263
9400.0,3.4,500169,695288
9425.0,3.3,500169,695313
9450.0,3.3,500169,695338
9475.0,3.4,500169,695363
9500.0,3.3,500169,695388
9525.0,3.3,500169,695413
9550.0,3.4,500169,695438
